球隊,年度,球隊勝率,球隊防禦率<每9局被得多少分>,球隊打擊:球隊打擊率,球隊打擊:球隊上壘率,球隊打擊:球隊長打率,球隊打擊:球隊攻擊指數
辛辛那提紅人,2011,0.49,4.16,0.256,0.326,0.408,0.734
芝加哥小熊,2011,0.44,4.34,0.256,0.314,0.401,0.715
亞特蘭大勇士,2011,0.55,3.49,0.243,0.308,0.387,0.695
亞利桑那響尾蛇,2011,0.58,3.8,0.250,0.322,0.413,0.735
多倫多藍鳥,2011,0.5,4.33,0.249,0.317,0.413,0.730
德州遊騎兵,2011,0.59,3.79,0.283,0.340,0.460,0.800
坦帕灣光芒,2011,0.56,3.58,0.244,0.322,0.402,0.724
西雅圖水手,2011,0.41,3.91,0.233,0.292,0.348,0.640
奧克蘭運動家,2011,0.46,3.71,0.244,0.311,0.369,0.680
洛杉磯安那罕天使,2011,0.53,3.57,0.253,0.313,0.402,0.715
紐約洋基,2010,0.59,4.06,0.267,0.350,0.436,0.786
明尼蘇達雙城 ,2010,0.58,3.95,0.273,0.341,0.422,0.763
堪薩斯市皇家,2010,0.41,4.97,0.274,0.331,0.399,0.730
底特律老虎,2010,0.5,4.29,0.268,0.335,0.415,0.750
克里夫蘭印地安人,2010,0.43,4.3,0.248,0.322,0.378,0.700
芝加哥白襪,2010,0.54,4.09,0.268,0.332,0.420,0.752
舊金山巨人,2010,0.57,3.38,0.257,0.321,0.408,0.729
波士頓紅襪,2010,0.55,4.19,0.268,0.339,0.451,0.790
聖地牙哥教士,2010,0.56,3.41,0.246,0.317,0.371,0.688
聖路易紅雀,2010,0.53,3.57,0.263,0.332,0.402,0.734
匹茲堡海盜,2010,0.35,5,0.242,0.304,0.373,0.677
費城費城人,2010,0.6,3.68,0.260,0.332,0.413,0.745
紐約大都會,2010,0.49,3.73,0.249,0.314,0.383,0.697
華盛頓國民,2010,0.43,4.13,0.250,0.318,0.390,0.708
密爾瓦基釀酒人,2010,0.48,4.59,0.262,0.335,0.424,0.759
洛杉磯道奇,2010,0.5,4,0.252,0.322,0.379,0.701
休士頓太空人,2010,0.47,4.09,0.247,0.303,0.362,0.665
邁阿密馬林魚,2010,0.49,4.09,0.254,0.321,0.403,0.724
巴爾的摩金鶯,2010,0.41,4.59,0.259,0.316,0.386,0.702
科羅拉多落磯,2010,0.51,4.14,0.263,0.336,0.425,0.761
辛辛那提紅人,2010,0.56,4.02,0.272,0.338,0.436,0.774
芝加哥小熊,2010,0.46,4.24,0.257,0.320,0.401,0.721
亞特蘭大勇士,2010,0.56,3.57,0.258,0.339,0.401,0.740
亞利桑那響尾蛇,2010,0.4,4.81,0.250,0.325,0.416,0.741
多倫多藍鳥,2010,0.52,4.23,0.248,0.312,0.454,0.766
德州遊騎兵,2010,0.56,3.93,0.276,0.338,0.419,0.757
坦帕灣光芒,2010,0.59,3.78,0.247,0.333,0.403,0.736
西雅圖水手,2010,0.38,3.95,0.236,0.298,0.339,0.637
奧克蘭運動家,2010,0.5,3.58,0.256,0.324,0.378,0.702
洛杉磯安那罕天使,2010,0.49,4.04,0.248,0.311,0.390,0.701
