代號,月份,價,量
2915,M1801,38.6,38.6
2915,M1802,26.3,16.1
2915,M1803,51.3,37.5
2915,M1804,60.1,66.2
2915,M1805,43.2,74.1
4426,M1207,54.9,43.2
4426,M1208,58.2,49.3
4426,M1209,71.5,82.6
4426,M1210,63.6,77.1
4426,M1211,47.7,63.4
4426,M1212,35.7,45.1
4426,M1301,33.6,45.9
4426,M1302,41.2,50.6
4426,M1303,39.3,52.1
4426,M1304,45.1,49.5
4426,M1305,68.5,100.0
4426,M1306,64.3,59.2
4426,M1307,34.0,44.0
4426,M1308,17.2,18.5
4426,M1309,14.5,10.6
4426,M1310,45.0,57.6
4426,M1311,46.1,75.0
4426,M1312,36.3,65.0
4426,M1401,28.1,43.1
4426,M1402,26.4,27.6
4426,M1403,43.4,58.7
4426,M1404,69.4,100.0
4426,M1405,45.5,66.0
4426,M1406,38.3,71.8
4426,M1407,33.5,66.0
4426,M1408,20.2,0.0
4426,M1409,7.7,6.7
4426,M1410,8.1,4.2
4426,M1411,5.4,7.4
4426,M1412,3.8,3.6
4426,M1501,7.3,3.9
4426,M1502,14.5,12.3
4426,M1503,26.9,23.6
4426,M1504,53.7,48.1
4426,M1505,57.6,68.1
4426,M1506,63.4,80.3
4426,M1507,57.3,66.3
4426,M1508,43.0,46.2
4426,M1509,58.7,61.5
4426,M1510,71.9,84.9
4426,M1511,75.5,85.6
4426,M1512,50.2,56.8
4426,M1601,49.4,47.0
4426,M1602,71.6,100.0
4426,M1603,65.5,82.8
4426,M1604,45.7,63.3
4426,M1605,21.6,0.0
4426,M1606,32.6,32.4
4426,M1607,45.1,46.2
4426,M1608,59.9,61.2
4426,M1609,47.9,63.9
4426,M1610,48.5,51.6
4426,M1611,39.0,45.5
4426,M1612,39.0,47.0
4426,M1701,22.6,15.1
4426,M1702,13.5,9.1
4426,M1703,21.0,14.2
4426,M1704,23.0,20.6
4426,M1705,30.8,36.0
4426,M1706,48.3,46.3
4426,M1707,67.6,100.0
4426,M1708,72.7,62.1
4426,M1709,49.0,47.8
4426,M1710,36.5,35.9
4426,M1711,22.5,17.4
4426,M1712,19.1,17.8
4426,M1801,21.7,21.3
4426,M1802,25.6,15.5
4426,M1803,55.9,60.0
4426,M1804,48.6,31.1
4426,M1805,37.7,34.4
6235,M1207,30.0,26.6
6235,M1208,49.6,42.6
6235,M1209,53.6,53.2
6235,M1210,30.5,0.0
6235,M1211,22.0,4.0
6235,M1212,31.5,44.0
6235,M1301,45.5,60.0
6235,M1302,30.0,38.0
6235,M1303,43.5,63.0
6235,M1304,41.1,53.8
6235,M1305,68.7,66.4
6235,M1306,70.1,79.1
6235,M1307,54.1,74.0
6235,M1308,36.6,36.0
6235,M1309,34.2,37.2
6235,M1310,32.4,53.0
6235,M1311,15.4,0.0
6235,M1312,17.5,14.4
6235,M1401,43.9,30.2
6235,M1402,41.9,48.9
6235,M1403,52.2,57.1
6235,M1404,60.4,57.9
6235,M1405,61.4,67.6
6235,M1406,62.6,75.7
6235,M1407,61.1,78.9
6235,M1408,63.4,64.4
6235,M1409,50.4,50.5
6235,M1410,23.5,1.7
6235,M1411,12.2,0.0
6235,M1412,17.5,18.8
6235,M1501,18.2,21.2
6235,M1502,21.2,20.0
6235,M1503,26.8,26.2
6235,M1504,24.7,28.8
6235,M1505,54.2,32.7
6235,M1506,85.1,100.0
6235,M1507,56.2,37.7
6235,M1508,16.1,0.7
6235,M1509,35.9,23.5
6235,M1510,51.5,59.7
6235,M1511,54.3,54.5
6235,M1512,46.9,52.4
6235,M1601,29.7,47.5
6235,M1602,35.5,32.6
6235,M1603,37.2,40.3
6235,M1604,25.9,27.0
6235,M1605,17.2,16.7
6235,M1606,35.7,26.5
6235,M1607,49.7,56.3
6235,M1608,57.8,55.2
6235,M1609,61.6,68.5
6235,M1610,71.8,81.8
6235,M1611,62.4,69.0
6235,M1612,65.9,80.8
6235,M1701,60.3,83.7
6235,M1702,71.9,85.8
6235,M1703,78.2,96.2
6235,M1704,71.5,100.0
6235,M1705,53.6,58.1
6235,M1706,52.8,76.2
6235,M1707,52.0,61.0
6235,M1708,20.9,0.0
6235,M1709,20.4,13.3
6235,M1710,25.2,21.9
6235,M1711,32.7,31.3
6235,M1712,66.0,58.7
6235,M1801,65.6,100.0
6235,M1802,62.9,90.1
6235,M1803,53.0,77.2
6235,M1804,24.2,23.1
6235,M1805,35.3,42.9
